Wavelength(nm),4.07(Abs),20.3(Abs),40.7(Abs),60(Abs),90(Abs),122(Abs)
420,-0.00048,-0.0006,0.00126,0.00144,0.00165,0.00111
419,-0.00017,-0.00025,0.00161,0.00181,0.00199,0.00147
418,0.00011,0.0001,0.00187,0.00216,0.00226,0.00174
417,0.00045,0.00043,0.00217,0.00241,0.00255,0.0021
416,0.00079,0.00066,0.0024,0.00265,0.00283,0.0023
415,0.00081,0.00077,0.00255,0.0028,0.003,0.00235
414,0.00094,0.00095,0.00272,0.00293,0.00319,0.00252
413,0.00092,0.00082,0.00261,0.00282,0.00304,0.00253
412,0.00085,0.00084,0.00249,0.00279,0.00296,0.00243
411,0.00083,0.00069,0.00243,0.00262,0.00283,0.00219
410,0.00057,0.00051,0.00225,0.00245,0.00266,0.00212
409,0.00046,0.00025,0.00189,0.00226,0.00244,0.00181
408,0.00039,0.00023,0.00182,0.00204,0.00216,0.00164
407,0.00026,0.00014,0.00176,0.00212,0.00223,0.00155
406,0.00014,0.00014,0.0017,0.00197,0.00216,0.0016
405,0.00028,0.00017,0.00168,0.00202,0.00213,0.0016
404,-0.00024,-0.00039,0.00117,0.00152,0.0016,0.00114
403,-0.00083,-0.001,0.00066,0.00079,0.00111,0.00048
402,-0.0007,-0.00091,0.00074,0.001,0.00116,0.00059
401,-0.00058,-0.00079,0.00073,0.0012,0.00126,0.00069
400,-0.00053,-0.00079,0.0008,0.00114,0.00128,0.00076
399,-0.00046,-0.00064,0.00099,0.00131,0.00145,0.00082
398,-0.00046,-0.00067,0.00095,0.00122,0.00134,0.0008
397,-0.00054,-0.00079,0.00079,0.00125,0.00138,0.00073
396,-0.00055,-0.0007,0.00094,0.0013,0.00132,0.00076
395,-0.00041,-0.00057,0.00112,0.00137,0.00153,0.00092
394,-0.00047,-0.00077,0.0009,0.00117,0.0014,0.00067
393,-0.00055,-0.00079,0.00085,0.00114,0.00117,0.00077
392,-0.0001,-0.00037,0.00135,0.00156,0.00178,0.00112
391,-0.00058,-0.00069,0.00094,0.00131,0.00138,0.00087
390,-0.00052,-0.00082,0.00083,0.00116,0.00134,0.00066
389,-0.00056,-0.00072,0.00085,0.00135,0.00141,0.00079
388,-0.00036,-0.0006,0.00099,0.00141,0.00161,0.00086
387,-0.0004,-0.00053,0.00113,0.00142,0.00153,0.0009
